PC,[M+HCOO]-,[M-CH3]-,[M-choline]-,[M-R1CO]-,[M-R2CO]-,[M-R1COO-choline]-,[M-R2COO-choline]-,[R1COO]-,[R2COO]-,[Glycerophosphocholine-CH3-H2O]-,[Phosphocholine-CH3]-,[Glycerol-3-phosphate-H2O]-,[H2PO4]-,[PO3]-
PC(14:0_22:2),830.59168,770.57054,699.49704,560.37217,452.27827,542.36161,434.26771,227.20165,335.29555,224.06881,168.04314,152.99586,96.96964,78.95852
PC(14:0_22:3),828.57608,768.55494,697.48144,558.35657,452.27827,540.34601,434.26771,227.20165,333.27995,224.06881,168.04314,152.99586,96.96964,78.95852
PC(14:0_22:4),826.56038,766.53924,695.46574,556.34087,452.27827,538.33031,434.26771,227.20165,331.26425,224.06881,168.04314,152.99586,96.96964,78.95852
PC(14:0_22:5),824.54478,764.52364,693.45014,554.32527,452.27827,536.31471,434.26771,227.20165,329.24865,224.06881,168.04314,152.99586,96.96964,78.95852
PC(14:0_22:6),822.52908,762.50794,691.43444,552.30957,452.27827,534.29901,434.26771,227.20165,327.23295,224.06881,168.04314,152.99586,96.96964,78.95852
PC(14:0_23:0),848.63868,788.61754,717.54404,578.41917,452.27827,560.40861,434.26771,227.20165,353.34255,224.06881,168.04314,152.99586,96.96964,78.95852
PC(14:0_24:0),862.65428,802.63314,731.55964,592.43477,452.27827,574.42421,434.26771,227.20165,367.35815,224.06881,168.04314,152.99586,96.96964,78.95852
PC(14:0_24:1),860.63868,800.61754,729.54404,590.41917,452.27827,572.40861,434.26771,227.20165,365.34255,224.06881,168.04314,152.99586,96.96964,78.95852
PC(14:0_25:0),876.66998,816.64884,745.57534,606.45047,452.27827,588.43991,434.26771,227.20165,381.37385,224.06881,168.04314,152.99586,96.96964,78.95852
PC(14:0_26:0),890.68558,830.66444,759.59094,620.46607,452.27827,602.45551,434.26771,227.20165,395.38945,224.06881,168.04314,152.99586,96.96964,78.95852
PC(14:1_14:1),718.46658,658.44544,587.37194,450.26267,450.26267,432.25211,432.25211,225.18605,225.18605,224.06881,168.04314,152.99586,96.96964,78.95852
PC(14:1_15:0),734.49788,674.47674,603.40324,466.29397,450.26267,448.28341,432.25211,225.18605,241.21735,224.06881,168.04314,152.99586,96.96964,78.95852
PC(14:1_15:1),732.48218,672.46104,601.38754,464.27827,450.26267,446.26771,432.25211,225.18605,239.20165,224.06881,168.04314,152.99586,96.96964,78.95852
PC(14:1_16:0),748.51348,688.49234,617.41884,480.30957,450.26267,462.29901,432.25211,225.18605,255.23295,224.06881,168.04314,152.99586,96.96964,78.95852
PC(14:1_16:1),746.49788,686.47674,615.40324,478.29397,450.26267,460.28341,432.25211,225.18605,253.21735,224.06881,168.04314,152.99586,96.96964,78.95852
PC(14:1_17:0),762.52918,702.50804,631.43454,494.32527,450.26267,476.31471,432.25211,225.18605,269.24865,224.06881,168.04314,152.99586,96.96964,78.95852
PC(14:1_17:1),760.51348,700.49234,629.41884,492.30957,450.26267,474.29901,432.25211,225.18605,267.23295,224.06881,168.04314,152.99586,96.96964,78.95852
PC(14:1_17:2),758.49788,698.47674,627.40324,490.29397,450.26267,472.28341,432.25211,225.18605,265.21735,224.06881,168.04314,152.99586,96.96964,78.95852
PC(14:1_18:0),776.54478,716.52364,645.45014,508.34087,450.26267,490.33031,432.25211,225.18605,283.26425,224.06881,168.04314,152.99586,96.96964,78.95852
PC(14:1_18:1),774.52918,714.50804,643.43454,506.32527,450.26267,488.31471,432.25211,225.18605,281.24865,224.06881,168.04314,152.99586,96.96964,78.95852
PC(14:1_18:2),772.51348,712.49234,641.41884,504.30957,450.26267,486.29901,432.25211,225.18605,279.23295,224.06881,168.04314,152.99586,96.96964,78.95852
PC(14:1_18:3),770.49788,710.47674,639.40324,502.29397,450.26267,484.28341,432.25211,225.18605,277.21735,224.06881,168.04314,152.99586,96.96964,78.95852
PC(14:1_18:4),768.48218,708.46104,637.38754,500.27827,450.26267,482.26771,432.25211,225.18605,275.20165,224.06881,168.04314,152.99586,96.96964,78.95852
PC(14:1_19:0),790.56048,730.53934,659.46584,522.35657,450.26267,504.34601,432.25211,225.18605,297.27995,224.06881,168.04314,152.99586,96.96964,78.95852
PC(14:1_20:0),804.57608,744.55494,673.48144,536.37217,450.26267,518.36161,432.25211,225.18605,311.29555,224.06881,168.04314,152.99586,96.96964,78.95852
PC(14:1_20:1),802.56048,742.53934,671.46584,534.35657,450.26267,516.34601,432.25211,225.18605,309.27995,224.06881,168.04314,152.99586,96.96964,78.95852
PC(14:1_20:2),800.54478,740.52364,669.45014,532.34087,450.26267,514.33031,432.25211,225.18605,307.26425,224.06881,168.04314,152.99586,96.96964,78.95852
PC(14:1_20:3),798.52918,738.50804,667.43454,530.32527,450.26267,512.31471,432.25211,225.18605,305.24865,224.06881,168.04314,152.99586,96.96964,78.95852
PC(14:1_20:4),796.51348,736.49234,665.41884,528.30957,450.26267,510.29901,432.25211,225.18605,303.23295,224.06881,168.04314,152.99586,96.96964,78.95852
PC(14:1_20:5),794.49788,734.47674,663.40324,526.29397,450.26267,508.28341,432.25211,225.18605,301.21735,224.06881,168.04314,152.99586,96.96964,78.95852
PC(14:1_21:0),818.59178,758.57064,687.49714,550.38787,450.26267,532.37731,432.25211,225.18605,325.31125,224.06881,168.04314,152.99586,96.96964,78.95852
PC(14:1_22:0),832.60738,772.58624,701.51274,564.40347,450.26267,546.39291,432.25211,225.18605,339.32685,224.06881,168.04314,152.99586,96.96964,78.95852
PC(14:1_22:1),830.59178,770.57064,699.49714,562.38787,450.26267,544.37731,432.25211,225.18605,337.31125,224.06881,168.04314,152.99586,96.96964,78.95852
PC(14:1_22:2),828.57608,768.55494,697.48144,560.37217,450.26267,542.36161,432.25211,225.18605,335.29555,224.06881,168.04314,152.99586,96.96964,78.95852
PC(14:1_22:3),826.56048,766.53934,695.46584,558.35657,450.26267,540.34601,432.25211,225.18605,333.27995,224.06881,168.04314,152.99586,96.96964,78.95852
PC(14:1_22:4),824.54478,764.52364,693.45014,556.34087,450.26267,538.33031,432.25211,225.18605,331.26425,224.06881,168.04314,152.99586,96.96964,78.95852
PC(14:1_22:5),822.52918,762.50804,691.43454,554.32527,450.26267,536.31471,432.25211,225.18605,329.24865,224.06881,168.04314,152.99586,96.96964,78.95852
PC(14:1_22:6),820.51348,760.49234,689.41884,552.30957,450.26267,534.29901,432.25211,225.18605,327.23295,224.06881,168.04314,152.99586,96.96964,78.95852
PC(14:1_23:0),846.62308,786.60194,715.52844,578.41917,450.26267,560.40861,432.25211,225.18605,353.34255,224.06881,168.04314,152.99586,96.96964,78.95852
PC(14:1_24:0),860.63868,800.61754,729.54404,592.43477,450.26267,574.42421,432.25211,225.18605,367.35815,224.06881,168.04314,152.99586,96.96964,78.95852
PC(14:1_24:1),858.62308,798.60194,727.52844,590.41917,450.26267,572.40861,432.25211,225.18605,365.34255,224.06881,168.04314,152.99586,96.96964,78.95852
PC(14:1_25:0),874.65438,814.63324,743.55974,606.45047,450.26267,588.43991,432.25211,225.18605,381.37385,224.06881,168.04314,152.99586,96.96964,78.95852
PC(14:1_26:0),888.66998,828.64884,757.57534,620.46607,450.26267,602.45551,432.25211,225.18605,395.38945,224.06881,168.04314,152.99586,96.96964,78.95852
PC(15:0_15:0),750.52918,690.50804,619.43454,466.29397,466.29397,448.28341,448.28341,241.21735,241.21735,224.06881,168.04314,152.99586,96.96964,78.95852
PC(15:0_15:1),748.51348,688.49234,617.41884,464.27827,466.29397,446.26771,448.28341,241.21735,239.20165,224.06881,168.04314,152.99586,96.96964,78.95852
PC(15:0_16:0),764.54478,704.52364,633.45014,480.30957,466.29397,462.29901,448.28341,241.21735,255.23295,224.06881,168.04314,152.99586,96.96964,78.95852
PC(15:0_16:1),762.52918,702.50804,631.43454,478.29397,466.29397,460.28341,448.28341,241.21735,253.21735,224.06881,168.04314,152.99586,96.96964,78.95852
PC(15:0_17:0),778.56048,718.53934,647.46584,494.32527,466.29397,476.31471,448.28341,241.21735,269.24865,224.06881,168.04314,152.99586,96.96964,78.95852
PC(15:0_17:1),776.54478,716.52364,645.45014,492.30957,466.29397,474.29901,448.28341,241.21735,267.23295,224.06881,168.04314,152.99586,96.96964,78.95852
PC(15:0_17:2),774.52918,714.50804,643.43454,490.29397,466.29397,472.28341,448.28341,241.21735,265.21735,224.06881,168.04314,152.99586,96.96964,78.95852
PC(15:0_18:0),792.57608,732.55494,661.48144,508.34087,466.29397,490.33031,448.28341,241.21735,283.26425,224.06881,168.04314,152.99586,96.96964,78.95852
PC(15:0_18:1),790.56048,730.53934,659.46584,506.32527,466.29397,488.31471,448.28341,241.21735,281.24865,224.06881,168.04314,152.99586,96.96964,78.95852
PC(15:0_18:2),788.54478,728.52364,657.45014,504.30957,466.29397,486.29901,448.28341,241.21735,279.23295,224.06881,168.04314,152.99586,96.96964,78.95852
PC(15:0_18:3),786.52918,726.50804,655.43454,502.29397,466.29397,484.28341,448.28341,241.21735,277.21735,224.06881,168.04314,152.99586,96.96964,78.95852
PC(15:0_18:4),784.51348,724.49234,653.41884,500.27827,466.29397,482.26771,448.28341,241.21735,275.20165,224.06881,168.04314,152.99586,96.96964,78.95852
PC(15:0_19:0),806.59178,746.57064,675.49714,522.35657,466.29397,504.34601,448.28341,241.21735,297.27995,224.06881,168.04314,152.99586,96.96964,78.95852
PC(15:0_20:0),820.60738,760.58624,689.51274,536.37217,466.29397,518.36161,448.28341,241.21735,311.29555,224.06881,168.04314,152.99586,96.96964,78.95852
PC(15:0_20:1),818.59178,758.57064,687.49714,534.35657,466.29397,516.34601,448.28341,241.21735,309.27995,224.06881,168.04314,152.99586,96.96964,78.95852
PC(15:0_20:2),816.57608,756.55494,685.48144,532.34087,466.29397,514.33031,448.28341,241.21735,307.26425,224.06881,168.04314,152.99586,96.96964,78.95852
PC(15:0_20:3),814.56048,754.53934,683.46584,530.32527,466.29397,512.31471,448.28341,241.21735,305.24865,224.06881,168.04314,152.99586,96.96964,78.95852
PC(15:0_20:4),812.54478,752.52364,681.45014,528.30957,466.29397,510.29901,448.28341,241.21735,303.23295,224.06881,168.04314,152.99586,96.96964,78.95852
PC(15:0_20:5),810.52918,750.50804,679.43454,526.29397,466.29397,508.28341,448.28341,241.21735,301.21735,224.06881,168.04314,152.99586,96.96964,78.95852
PC(15:0_21:0),834.62308,774.60194,703.52844,550.38787,466.29397,532.37731,448.28341,241.21735,325.31125,224.06881,168.04314,152.99586,96.96964,78.95852
PC(15:0_22:0),848.63868,788.61754,717.54404,564.40347,466.29397,546.39291,448.28341,241.21735,339.32685,224.06881,168.04314,152.99586,96.96964,78.95852
PC(15:0_22:1),846.62308,786.60194,715.52844,562.38787,466.29397,544.37731,448.28341,241.21735,337.31125,224.06881,168.04314,152.99586,96.96964,78.95852
PC(15:0_22:2),844.60738,784.58624,713.51274,560.37217,466.29397,542.36161,448.28341,241.21735,335.29555,224.06881,168.04314,152.99586,96.96964,78.95852
PC(15:0_22:3),842.59178,782.57064,711.49714,558.35657,466.29397,540.34601,448.28341,241.21735,333.27995,224.06881,168.04314,152.99586,96.96964,78.95852
PC(15:0_22:4),840.57608,780.55494,709.48144,556.34087,466.29397,538.33031,448.28341,241.21735,331.26425,224.06881,168.04314,152.99586,96.96964,78.95852
PC(15:0_22:5),838.56048,778.53934,707.46584,554.32527,466.29397,536.31471,448.28341,241.21735,329.24865,224.06881,168.04314,152.99586,96.96964,78.95852
PC(15:0_22:6),836.54478,776.52364,705.45014,552.30957,466.29397,534.29901,448.28341,241.21735,327.23295,224.06881,168.04314,152.99586,96.96964,78.95852
PC(15:0_23:0),862.65438,802.63324,731.55974,578.41917,466.29397,560.40861,448.28341,241.21735,353.34255,224.06881,168.04314,152.99586,96.96964,78.95852
PC(15:0_24:0),876.66998,816.64884,745.57534,592.43477,466.29397,574.42421,448.28341,241.21735,367.35815,224.06881,168.04314,152.99586,96.96964,78.95852
PC(15:0_24:1),874.65438,814.63324,743.55974,590.41917,466.29397,572.40861,448.28341,241.21735,365.34255,224.06881,168.04314,152.99586,96.96964,78.95852
PC(15:0_25:0),890.68568,830.66454,759.59104,606.45047,466.29397,588.43991,448.28341,241.21735,381.37385,224.06881,168.04314,152.99586,96.96964,78.95852
PC(15:0_26:0),904.70128,844.68014,773.60664,620.46607,466.29397,602.45551,448.28341,241.21735,395.38945,224.06881,168.04314,152.99586,96.96964,78.95852
PC(15:1_15:1),746.49778,686.47664,615.40314,464.27827,464.27827,446.26771,446.26771,239.20165,239.20165,224.06881,168.04314,152.99586,96.96964,78.95852
PC(15:1_16:0),762.52908,702.50794,631.43444,480.30957,464.27827,462.29901,446.26771,239.20165,255.23295,224.06881,168.04314,152.99586,96.96964,78.95852
PC(15:1_16:1),760.51348,700.49234,629.41884,478.29397,464.27827,460.28341,446.26771,239.20165,253.21735,224.06881,168.04314,152.99586,96.96964,78.95852
PC(15:1_17:0),776.54478,716.52364,645.45014,494.32527,464.27827,476.31471,446.26771,239.20165,269.24865,224.06881,168.04314,152.99586,96.96964,78.95852
PC(15:1_17:1),774.52908,714.50794,643.43444,492.30957,464.27827,474.29901,446.26771,239.20165,267.23295,224.06881,168.04314,152.99586,96.96964,78.95852
PC(15:1_17:2),772.51348,712.49234,641.41884,490.29397,464.27827,472.28341,446.26771,239.20165,265.21735,224.06881,168.04314,152.99586,96.96964,78.95852
PC(15:1_18:0),790.56038,730.53924,659.46574,508.34087,464.27827,490.33031,446.26771,239.20165,283.26425,224.06881,168.04314,152.99586,96.96964,78.95852
PC(15:1_18:1),788.54478,728.52364,657.45014,506.32527,464.27827,488.31471,446.26771,239.20165,281.24865,224.06881,168.04314,152.99586,96.96964,78.95852
PC(15:1_18:2),786.52908,726.50794,655.43444,504.30957,464.27827,486.29901,446.26771,239.20165,279.23295,224.06881,168.04314,152.99586,96.96964,78.95852
PC(15:1_18:3),784.51348,724.49234,653.41884,502.29397,464.27827,484.28341,446.26771,239.20165,277.21735,224.06881,168.04314,152.99586,96.96964,78.95852
PC(15:1_18:4),782.49778,722.47664,651.40314,500.27827,464.27827,482.26771,446.26771,239.20165,275.20165,224.06881,168.04314,152.99586,96.96964,78.95852
PC(15:1_19:0),804.57608,744.55494,673.48144,522.35657,464.27827,504.34601,446.26771,239.20165,297.27995,224.06881,168.04314,152.99586,96.96964,78.95852
PC(15:1_20:0),818.59168,758.57054,687.49704,536.37217,464.27827,518.36161,446.26771,239.20165,311.29555,224.06881,168.04314,152.99586,96.96964,78.95852
PC(15:1_20:1),816.57608,756.55494,685.48144,534.35657,464.27827,516.34601,446.26771,239.20165,309.27995,224.06881,168.04314,152.99586,96.96964,78.95852
PC(15:1_20:2),814.56038,754.53924,683.46574,532.34087,464.27827,514.33031,446.26771,239.20165,307.26425,224.06881,168.04314,152.99586,96.96964,78.95852
PC(15:1_20:3),812.54478,752.52364,681.45014,530.32527,464.27827,512.31471,446.26771,239.20165,305.24865,224.06881,168.04314,152.99586,96.96964,78.95852
PC(15:1_20:4),810.52908,750.50794,679.43444,528.30957,464.27827,510.29901,446.26771,239.20165,303.23295,224.06881,168.04314,152.99586,96.96964,78.95852
PC(15:1_20:5),808.51348,748.49234,677.41884,526.29397,464.27827,508.28341,446.26771,239.20165,301.21735,224.06881,168.04314,152.99586,96.96964,78.95852
PC(15:1_21:0),832.60738,772.58624,701.51274,550.38787,464.27827,532.37731,446.26771,239.20165,325.31125,224.06881,168.04314,152.99586,96.96964,78.95852
PC(15:1_22:0),846.62298,786.60184,715.52834,564.40347,464.27827,546.39291,446.26771,239.20165,339.32685,224.06881,168.04314,152.99586,96.96964,78.95852
PC(15:1_22:1),844.60738,784.58624,713.51274,562.38787,464.27827,544.37731,446.26771,239.20165,337.31125,224.06881,168.04314,152.99586,96.96964,78.95852
PC(15:1_22:2),842.59168,782.57054,711.49704,560.37217,464.27827,542.36161,446.26771,239.20165,335.29555,224.06881,168.04314,152.99586,96.96964,78.95852
PC(15:1_22:3),840.57608,780.55494,709.48144,558.35657,464.27827,540.34601,446.26771,239.20165,333.27995,224.06881,168.04314,152.99586,96.96964,78.95852
PC(15:1_22:4),838.56038,778.53924,707.46574,556.34087,464.27827,538.33031,446.26771,239.20165,331.26425,224.06881,168.04314,152.99586,96.96964,78.95852
PC(15:1_22:5),836.54478,776.52364,705.45014,554.32527,464.27827,536.31471,446.26771,239.20165,329.24865,224.06881,168.04314,152.99586,96.96964,78.95852
PC(15:1_22:6),834.52908,774.50794,703.43444,552.30957,464.27827,534.29901,446.26771,239.20165,327.23295,224.06881,168.04314,152.99586,96.96964,78.95852
PC(15:1_23:0),860.63868,800.61754,729.54404,578.41917,464.27827,560.40861,446.26771,239.20165,353.34255,224.06881,168.04314,152.99586,96.96964,78.95852
PC(15:1_24:0),874.65428,814.63314,743.55964,592.43477,464.27827,574.42421,446.26771,239.20165,367.35815,224.06881,168.04314,152.99586,96.96964,78.95852
PC(15:1_24:1),872.63868,812.61754,741.54404,590.41917,464.27827,572.40861,446.26771,239.20165,365.34255,224.06881,168.04314,152.99586,96.96964,78.95852
PC(15:1_25:0),888.66998,828.64884,757.57534,606.45047,464.27827,588.43991,446.26771,239.20165,381.37385,224.06881,168.04314,152.99586,96.96964,78.95852
PC(15:1_26:0),902.68558,842.66444,771.59094,620.46607,464.27827,602.45551,446.26771,239.20165,395.38945,224.06881,168.04314,152.99586,96.96964,78.95852
PC(16:0_16:0),778.56038,718.53924,647.46574,480.30957,480.30957,462.29901,462.29901,255.23295,255.23295,224.06881,168.04314,152.99586,96.96964,78.95852
PC(16:0_16:1),776.54478,716.52364,645.45014,478.29397,480.30957,460.28341,462.29901,255.23295,253.21735,224.06881,168.04314,152.99586,96.96964,78.95852
PC(16:0_17:0),792.57608,732.55494,661.48144,494.32527,480.30957,476.31471,462.29901,255.23295,269.24865,224.06881,168.04314,152.99586,96.96964,78.95852
PC(16:0_17:1),790.56038,730.53924,659.46574,492.30957,480.30957,474.29901,462.29901,255.23295,267.23295,224.06881,168.04314,152.99586,96.96964,78.95852
PC(16:0_17:2),788.54478,728.52364,657.45014,490.29397,480.30957,472.28341,462.29901,255.23295,265.21735,224.06881,168.04314,152.99586,96.96964,78.95852
PC(16:0_18:0),806.59168,746.57054,675.49704,508.34087,480.30957,490.33031,462.29901,255.23295,283.26425,224.06881,168.04314,152.99586,96.96964,78.95852
PC(16:0_18:1),804.57608,744.55494,673.48144,506.32527,480.30957,488.31471,462.29901,255.23295,281.24865,224.06881,168.04314,152.99586,96.96964,78.95852
PC(16:0_18:2),802.56038,742.53924,671.46574,504.30957,480.30957,486.29901,462.29901,255.23295,279.23295,224.06881,168.04314,152.99586,96.96964,78.95852
PC(16:0_18:3),800.54478,740.52364,669.45014,502.29397,480.30957,484.28341,462.29901,255.23295,277.21735,224.06881,168.04314,152.99586,96.96964,78.95852
PC(16:0_18:4),798.52908,738.50794,667.43444,500.27827,480.30957,482.26771,462.29901,255.23295,275.20165,224.06881,168.04314,152.99586,96.96964,78.95852
PC(16:0_19:0),820.60738,760.58624,689.51274,522.35657,480.30957,504.34601,462.29901,255.23295,297.27995,224.06881,168.04314,152.99586,96.96964,78.95852
PC(16:0_20:0),834.62298,774.60184,703.52834,536.37217,480.30957,518.36161,462.29901,255.23295,311.29555,224.06881,168.04314,152.99586,96.96964,78.95852
PC(16:0_20:1),832.60738,772.58624,701.51274,534.35657,480.30957,516.34601,462.29901,255.23295,309.27995,224.06881,168.04314,152.99586,96.96964,78.95852
PC(16:0_20:2),830.59168,770.57054,699.49704,532.34087,480.30957,514.33031,462.29901,255.23295,307.26425,224.06881,168.04314,152.99586,96.96964,78.95852
PC(16:0_20:3),828.57608,768.55494,697.48144,530.32527,480.30957,512.31471,462.29901,255.23295,305.24865,224.06881,168.04314,152.99586,96.96964,78.95852
PC(16:0_20:4),826.56038,766.53924,695.46574,528.30957,480.30957,510.29901,462.29901,255.23295,303.23295,224.06881,168.04314,152.99586,96.96964,78.95852
PC(16:0_20:5),824.54478,764.52364,693.45014,526.29397,480.30957,508.28341,462.29901,255.23295,301.21735,224.06881,168.04314,152.99586,96.96964,78.95852
PC(16:0_21:0),848.63868,788.61754,717.54404,550.38787,480.30957,532.37731,462.29901,255.23295,325.31125,224.06881,168.04314,152.99586,96.96964,78.95852
PC(16:0_22:0),862.65428,802.63314,731.55964,564.40347,480.30957,546.39291,462.29901,255.23295,339.32685,224.06881,168.04314,152.99586,96.96964,78.95852
PC(16:0_22:1),860.63868,800.61754,729.54404,562.38787,480.30957,544.37731,462.29901,255.23295,337.31125,224.06881,168.04314,152.99586,96.96964,78.95852
PC(16:0_22:2),858.62298,798.60184,727.52834,560.37217,480.30957,542.36161,462.29901,255.23295,335.29555,224.06881,168.04314,152.99586,96.96964,78.95852
PC(16:0_22:3),856.60738,796.58624,725.51274,558.35657,480.30957,540.34601,462.29901,255.23295,333.27995,224.06881,168.04314,152.99586,96.96964,78.95852
PC(16:0_22:4),854.59168,794.57054,723.49704,556.34087,480.30957,538.33031,462.29901,255.23295,331.26425,224.06881,168.04314,152.99586,96.96964,78.95852
PC(16:0_22:5),852.57608,792.55494,721.48144,554.32527,480.30957,536.31471,462.29901,255.23295,329.24865,224.06881,168.04314,152.99586,96.96964,78.95852
PC(16:0_22:6),850.56038,790.53924,719.46574,552.30957,480.30957,534.29901,462.29901,255.23295,327.23295,224.06881,168.04314,152.99586,96.96964,78.95852
PC(16:0_23:0),876.66998,816.64884,745.57534,578.41917,480.30957,560.40861,462.29901,255.23295,353.34255,224.06881,168.04314,152.99586,96.96964,78.95852
PC(16:0_24:0),890.68558,830.66444,759.59094,592.43477,480.30957,574.42421,462.29901,255.23295,367.35815,224.06881,168.04314,152.99586,96.96964,78.95852
PC(16:0_24:1),888.66998,828.64884,757.57534,590.41917,480.30957,572.40861,462.29901,255.23295,365.34255,224.06881,168.04314,152.99586,96.96964,78.95852
PC(16:0_25:0),904.70128,844.68014,773.60664,606.45047,480.30957,588.43991,462.29901,255.23295,381.37385,224.06881,168.04314,152.99586,96.96964,78.95852
PC(16:0_26:0),918.71688,858.69574,787.62224,620.46607,480.30957,602.45551,462.29901,255.23295,395.38945,224.06881,168.04314,152.99586,96.96964,78.95852
PC(16:1_16:1),774.52918,714.50804,643.43454,478.29397,478.29397,460.28341,460.28341,253.21735,253.21735,224.06881,168.04314,152.99586,96.96964,78.95852
PC(16:1_17:0),790.56048,730.53934,659.46584,494.32527,478.29397,476.31471,460.28341,253.21735,269.24865,224.06881,168.04314,152.99586,96.96964,78.95852
PC(16:1_17:1),788.54478,728.52364,657.45014,492.30957,478.29397,474.29901,460.28341,253.21735,267.23295,224.06881,168.04314,152.99586,96.96964,78.95852
PC(16:1_17:2),786.52918,726.50804,655.43454,490.29397,478.29397,472.28341,460.28341,253.21735,265.21735,224.06881,168.04314,152.99586,96.96964,78.95852
PC(16:1_18:0),804.57608,744.55494,673.48144,508.34087,478.29397,490.33031,460.28341,253.21735,283.26425,224.06881,168.04314,152.99586,96.96964,78.95852
PC(16:1_18:1),802.56048,742.53934,671.46584,506.32527,478.29397,488.31471,460.28341,253.21735,281.24865,224.06881,168.04314,152.99586,96.96964,78.95852
PC(16:1_18:2),800.54478,740.52364,669.45014,504.30957,478.29397,486.29901,460.28341,253.21735,279.23295,224.06881,168.04314,152.99586,96.96964,78.95852
PC(16:1_18:3),798.52918,738.50804,667.43454,502.29397,478.29397,484.28341,460.28341,253.21735,277.21735,224.06881,168.04314,152.99586,96.96964,78.95852
PC(16:1_18:4),796.51348,736.49234,665.41884,500.27827,478.29397,482.26771,460.28341,253.21735,275.20165,224.06881,168.04314,152.99586,96.96964,78.95852
PC(16:1_19:0),818.59178,758.57064,687.49714,522.35657,478.29397,504.34601,460.28341,253.21735,297.27995,224.06881,168.04314,152.99586,96.96964,78.95852
PC(16:1_20:0),832.60738,772.58624,701.51274,536.37217,478.29397,518.36161,460.28341,253.21735,311.29555,224.06881,168.04314,152.99586,96.96964,78.95852
PC(16:1_20:1),830.59178,770.57064,699.49714,534.35657,478.29397,516.34601,460.28341,253.21735,309.27995,224.06881,168.04314,152.99586,96.96964,78.95852
PC(16:1_20:2),828.57608,768.55494,697.48144,532.34087,478.29397,514.33031,460.28341,253.21735,307.26425,224.06881,168.04314,152.99586,96.96964,78.95852
PC(16:1_20:3),826.56048,766.53934,695.46584,530.32527,478.29397,512.31471,460.28341,253.21735,305.24865,224.06881,168.04314,152.99586,96.96964,78.95852
PC(16:1_20:4),824.54478,764.52364,693.45014,528.30957,478.29397,510.29901,460.28341,253.21735,303.23295,224.06881,168.04314,152.99586,96.96964,78.95852
PC(16:1_20:5),822.52918,762.50804,691.43454,526.29397,478.29397,508.28341,460.28341,253.21735,301.21735,224.06881,168.04314,152.99586,96.96964,78.95852
PC(16:1_21:0),846.62308,786.60194,715.52844,550.38787,478.29397,532.37731,460.28341,253.21735,325.31125,224.06881,168.04314,152.99586,96.96964,78.95852
PC(16:1_22:0),860.63868,800.61754,729.54404,564.40347,478.29397,546.39291,460.28341,253.21735,339.32685,224.06881,168.04314,152.99586,96.96964,78.95852
PC(16:1_22:1),858.62308,798.60194,727.52844,562.38787,478.29397,544.37731,460.28341,253.21735,337.31125,224.06881,168.04314,152.99586,96.96964,78.95852
PC(16:1_22:2),856.60738,796.58624,725.51274,560.37217,478.29397,542.36161,460.28341,253.21735,335.29555,224.06881,168.04314,152.99586,96.96964,78.95852
PC(16:1_22:3),854.59178,794.57064,723.49714,558.35657,478.29397,540.34601,460.28341,253.21735,333.27995,224.06881,168.04314,152.99586,96.96964,78.95852
PC(16:1_22:4),852.57608,792.55494,721.48144,556.34087,478.29397,538.33031,460.28341,253.21735,331.26425,224.06881,168.04314,152.99586,96.96964,78.95852
PC(16:1_22:5),850.56048,790.53934,719.46584,554.32527,478.29397,536.31471,460.28341,253.21735,329.24865,224.06881,168.04314,152.99586,96.96964,78.95852
PC(16:1_22:6),848.54478,788.52364,717.45014,552.30957,478.29397,534.29901,460.28341,253.21735,327.23295,224.06881,168.04314,152.99586,96.96964,78.95852
PC(16:1_23:0),874.65438,814.63324,743.55974,578.41917,478.29397,560.40861,460.28341,253.21735,353.34255,224.06881,168.04314,152.99586,96.96964,78.95852
PC(16:1_24:0),888.66998,828.64884,757.57534,592.43477,478.29397,574.42421,460.28341,253.21735,367.35815,224.06881,168.04314,152.99586,96.96964,78.95852
PC(16:1_24:1),886.65438,826.63324,755.55974,590.41917,478.29397,572.40861,460.28341,253.21735,365.34255,224.06881,168.04314,152.99586,96.96964,78.95852
PC(16:1_25:0),902.68568,842.66454,771.59104,606.45047,478.29397,588.43991,460.28341,253.21735,381.37385,224.06881,168.04314,152.99586,96.96964,78.95852
PC(16:1_26:0),916.70128,856.68014,785.60664,620.46607,478.29397,602.45551,460.28341,253.21735,395.38945,224.06881,168.04314,152.99586,96.96964,78.95852
PC(17:0_17:0),806.59178,746.57064,675.49714,494.32527,494.32527,476.31471,476.31471,269.24865,269.24865,224.06881,168.04314,152.99586,96.96964,78.95852
PC(17:0_17:1),804.57608,744.55494,673.48144,492.30957,494.32527,474.29901,476.31471,269.24865,267.23295,224.06881,168.04314,152.99586,96.96964,78.95852
PC(17:0_17:2),802.56048,742.53934,671.46584,490.29397,494.32527,472.28341,476.31471,269.24865,265.21735,224.06881,168.04314,152.99586,96.96964,78.95852
PC(17:0_18:0),820.60738,760.58624,689.51274,508.34087,494.32527,490.33031,476.31471,269.24865,283.26425,224.06881,168.04314,152.99586,96.96964,78.95852
PC(17:0_18:1),818.59178,758.57064,687.49714,506.32527,494.32527,488.31471,476.31471,269.24865,281.24865,224.06881,168.04314,152.99586,96.96964,78.95852
