SM,[M+H2PO4]-,[M-CH3]-,[T2-H]-,[PC-CH3-H]-
SM(d20:0/22:5)+H2PO4,903.599817,791.6026,329.2486,168.0431
SM(d20:0/22:6)+H2PO4,901.584117,789.5869,327.2329,168.0431
SM(d20:0/23:0)+H2PO4,927.693717,815.6965,353.3425,168.0431
SM(d20:0/24:0)+H2PO4,941.709317,829.7121,367.3581,168.0431
SM(d20:0/24:1)+H2PO4,939.693717,827.6965,365.3425,168.0431
SM(d20:0/25:0)+H2PO4,955.725017,843.7278,381.3738,168.0431
SM(d20:0/26:0)+H2PO4,969.740617,857.7434,395.3894,168.0431
SM(d20:0/8:0)+H2PO4,717.458917,605.4617,143.1077,168.0431
SM(d20:1/10:0)+H2PO4,743.474617,631.4774,171.139,168.0431
SM(d20:1/12:0)+H2PO4,771.505917,659.5087,199.1703,168.0431
SM(d20:1/13:0)+H2PO4,785.521617,673.5244,213.186,168.0431
SM(d20:1/14:0)+H2PO4,799.537217,687.54,227.2016,168.0431
SM(d20:1/14:1)+H2PO4,797.521617,685.5244,225.186,168.0431
SM(d20:1/15:0)+H2PO4,813.552917,701.5557,241.2173,168.0431
SM(d20:1/15:1)+H2PO4,811.537217,699.54,239.2016,168.0431
SM(d20:1/16:0)+H2PO4,827.568517,715.5713,255.2329,168.0431
SM(d20:1/16:1)+H2PO4,825.552917,713.5557,253.2173,168.0431
SM(d20:1/17:0)+H2PO4,841.584217,729.587,269.2486,168.0431
SM(d20:1/17:1)+H2PO4,839.568517,727.5713,267.2329,168.0431
SM(d20:1/17:2)+H2PO4,837.552917,725.5557,265.2173,168.0431
SM(d20:1/18:0)+H2PO4,855.599817,743.6026,283.2642,168.0431
SM(d20:1/18:1)+H2PO4,853.584217,741.587,281.2486,168.0431
SM(d20:1/18:2)+H2PO4,851.568517,739.5713,279.2329,168.0431
SM(d20:1/18:3)+H2PO4,849.552917,737.5557,277.2173,168.0431
SM(d20:1/18:4)+H2PO4,847.537217,735.54,275.2016,168.0431
SM(d20:1/19:0)+H2PO4,869.615517,757.6183,297.2799,168.0431
SM(d20:1/20:0)+H2PO4,883.631117,771.6339,311.2955,168.0431
SM(d20:1/20:1)+H2PO4,881.615517,769.6183,309.2799,168.0431
SM(d20:1/20:2)+H2PO4,879.599817,767.6026,307.2642,168.0431
SM(d20:1/20:3)+H2PO4,877.584217,765.587,305.2486,168.0431
SM(d20:1/20:4)+H2PO4,875.568517,763.5713,303.2329,168.0431
SM(d20:1/20:5)+H2PO4,873.552917,761.5557,301.2173,168.0431
SM(d20:1/21:0)+H2PO4,897.646817,785.6496,325.3112,168.0431
SM(d20:1/22:0)+H2PO4,911.662417,799.6652,339.3268,168.0431
SM(d20:1/22:1)+H2PO4,909.646817,797.6496,337.3112,168.0431
SM(d20:1/22:2)+H2PO4,907.631117,795.6339,335.2955,168.0431
SM(d20:1/22:3)+H2PO4,905.615517,793.6183,333.2799,168.0431
SM(d20:1/22:4)+H2PO4,903.599817,791.6026,331.2642,168.0431
SM(d20:1/22:5)+H2PO4,901.584217,789.587,329.2486,168.0431
SM(d20:1/22:6)+H2PO4,899.568517,787.5713,327.2329,168.0431
SM(d20:1/23:0)+H2PO4,925.678117,813.6809,353.3425,168.0431
SM(d20:1/24:0)+H2PO4,939.693717,827.6965,367.3581,168.0431
SM(d20:1/24:1)+H2PO4,937.678117,825.6809,365.3425,168.0431
SM(d20:1/25:0)+H2PO4,953.709417,841.7122,381.3738,168.0431
SM(d20:1/26:0)+H2PO4,967.725017,855.7278,395.3894,168.0431
SM(d20:1/8:0)+H2PO4,715.443317,603.4461,143.1077,168.0431
SM(d20:2/10:0)+H2PO4,741.458917,629.4617,171.139,168.0431
SM(d20:2/12:0)+H2PO4,769.490217,657.493,199.1703,168.0431
SM(d20:2/13:0)+H2PO4,783.505917,671.5087,213.186,168.0431
SM(d20:2/14:0)+H2PO4,797.521517,685.5243,227.2016,168.0431
SM(d20:2/14:1)+H2PO4,795.505917,683.5087,225.186,168.0431
SM(d20:2/15:0)+H2PO4,811.537217,699.54,241.2173,168.0431
SM(d20:2/15:1)+H2PO4,809.521517,697.5243,239.2016,168.0431
SM(d20:2/16:0)+H2PO4,825.552817,713.5556,255.2329,168.0431
SM(d20:2/16:1)+H2PO4,823.537217,711.54,253.2173,168.0431
SM(d20:2/17:0)+H2PO4,839.568517,727.5713,269.2486,168.0431
SM(d20:2/17:1)+H2PO4,837.552817,725.5556,267.2329,168.0431
SM(d20:2/17:2)+H2PO4,835.537217,723.54,265.2173,168.0431
SM(d20:2/18:0)+H2PO4,853.584117,741.5869,283.2642,168.0431
SM(d20:2/18:1)+H2PO4,851.568517,739.5713,281.2486,168.0431
SM(d20:2/18:2)+H2PO4,849.552817,737.5556,279.2329,168.0431
SM(d20:2/18:3)+H2PO4,847.537217,735.54,277.2173,168.0431
SM(d20:2/18:4)+H2PO4,845.521517,733.5243,275.2016,168.0431
SM(d20:2/19:0)+H2PO4,867.599817,755.6026,297.2799,168.0431
SM(d20:2/20:0)+H2PO4,881.615417,769.6182,311.2955,168.0431
SM(d20:2/20:1)+H2PO4,879.599817,767.6026,309.2799,168.0431
SM(d20:2/20:2)+H2PO4,877.584117,765.5869,307.2642,168.0431
SM(d20:2/20:3)+H2PO4,875.568517,763.5713,305.2486,168.0431
SM(d20:2/20:4)+H2PO4,873.552817,761.5556,303.2329,168.0431
SM(d20:2/20:5)+H2PO4,871.537217,759.54,301.2173,168.0431
SM(d20:2/21:0)+H2PO4,895.631117,783.6339,325.3112,168.0431
SM(d20:2/22:0)+H2PO4,909.646717,797.6495,339.3268,168.0431
SM(d20:2/22:1)+H2PO4,907.631117,795.6339,337.3112,168.0431
SM(d20:2/22:2)+H2PO4,905.615417,793.6182,335.2955,168.0431
SM(d20:2/22:3)+H2PO4,903.599817,791.6026,333.2799,168.0431
SM(d20:2/22:4)+H2PO4,901.584117,789.5869,331.2642,168.0431
SM(d20:2/22:5)+H2PO4,899.568517,787.5713,329.2486,168.0431
SM(d20:2/22:6)+H2PO4,897.552817,785.5556,327.2329,168.0431
SM(d20:2/23:0)+H2PO4,923.662417,811.6652,353.3425,168.0431
SM(d20:2/24:0)+H2PO4,937.678017,825.6808,367.3581,168.0431
SM(d20:2/24:1)+H2PO4,935.662417,823.6652,365.3425,168.0431
SM(d20:2/25:0)+H2PO4,951.693717,839.6965,381.3738,168.0431
SM(d20:2/26:0)+H2PO4,965.709317,853.7121,395.3894,168.0431
SM(d20:2/8:0)+H2PO4,713.427617,601.4304,143.1077,168.0431
SM(d20:3/10:0)+H2PO4,739.443317,627.4461,171.139,168.0431
SM(d20:3/12:0)+H2PO4,767.474617,655.4774,199.1703,168.0431
SM(d20:3/13:0)+H2PO4,781.490317,669.4931,213.186,168.0431
SM(d20:3/14:0)+H2PO4,795.505917,683.5087,227.2016,168.0431
SM(d20:3/14:1)+H2PO4,793.490317,681.4931,225.186,168.0431
SM(d20:3/15:0)+H2PO4,809.521617,697.5244,241.2173,168.0431
SM(d20:3/15:1)+H2PO4,807.505917,695.5087,239.2016,168.0431
SM(d20:3/16:0)+H2PO4,823.537217,711.54,255.2329,168.0431
SM(d20:3/16:1)+H2PO4,821.521617,709.5244,253.2173,168.0431
SM(d20:3/17:0)+H2PO4,837.552917,725.5557,269.2486,168.0431
SM(d20:3/17:1)+H2PO4,835.537217,723.54,267.2329,168.0431
SM(d20:3/17:2)+H2PO4,833.521617,721.5244,265.2173,168.0431
SM(d20:3/18:0)+H2PO4,851.568517,739.5713,283.2642,168.0431
SM(d20:3/18:1)+H2PO4,849.552917,737.5557,281.2486,168.0431
SM(d20:3/18:2)+H2PO4,847.537217,735.54,279.2329,168.0431
SM(d20:3/18:3)+H2PO4,845.521617,733.5244,277.2173,168.0431
SM(d20:3/18:4)+H2PO4,843.505917,731.5087,275.2016,168.0431
SM(d20:3/19:0)+H2PO4,865.584217,753.587,297.2799,168.0431
SM(d20:3/20:0)+H2PO4,879.599817,767.6026,311.2955,168.0431
SM(d20:3/20:1)+H2PO4,877.584217,765.587,309.2799,168.0431
SM(d20:3/20:2)+H2PO4,875.568517,763.5713,307.2642,168.0431
SM(d20:3/20:3)+H2PO4,873.552917,761.5557,305.2486,168.0431
SM(d20:3/20:4)+H2PO4,871.537217,759.54,303.2329,168.0431
SM(d20:3/20:5)+H2PO4,869.521617,757.5244,301.2173,168.0431
SM(d20:3/21:0)+H2PO4,893.615517,781.6183,325.3112,168.0431
SM(d20:3/22:0)+H2PO4,907.631117,795.6339,339.3268,168.0431
SM(d20:3/22:1)+H2PO4,905.615517,793.6183,337.3112,168.0431
SM(d20:3/22:2)+H2PO4,903.599817,791.6026,335.2955,168.0431
SM(d20:3/22:3)+H2PO4,901.584217,789.587,333.2799,168.0431
SM(d20:3/22:4)+H2PO4,899.568517,787.5713,331.2642,168.0431
SM(d20:3/22:5)+H2PO4,897.552917,785.5557,329.2486,168.0431
SM(d20:3/22:6)+H2PO4,895.537217,783.54,327.2329,168.0431
SM(d20:3/23:0)+H2PO4,921.646817,809.6496,353.3425,168.0431
SM(d20:3/24:0)+H2PO4,935.662417,823.6652,367.3581,168.0431
SM(d20:3/24:1)+H2PO4,933.646817,821.6496,365.3425,168.0431
SM(d20:3/25:0)+H2PO4,949.678117,837.6809,381.3738,168.0431
SM(d20:3/26:0)+H2PO4,963.693717,851.6965,395.3894,168.0431
SM(d20:3/8:0)+H2PO4,711.412017,599.4148,143.1077,168.0431
SM(d20:4/10:0)+H2PO4,737.427617,625.4304,171.139,168.0431
SM(d20:4/12:0)+H2PO4,765.458917,653.4617,199.1703,168.0431
SM(d20:4/13:0)+H2PO4,779.474617,667.4774,213.186,168.0431
SM(d20:4/14:0)+H2PO4,793.490217,681.493,227.2016,168.0431
SM(d20:4/14:1)+H2PO4,791.474617,679.4774,225.186,168.0431
SM(d20:4/15:0)+H2PO4,807.505917,695.5087,241.2173,168.0431
SM(d20:4/15:1)+H2PO4,805.490217,693.493,239.2016,168.0431
SM(d20:4/16:0)+H2PO4,821.521517,709.5243,255.2329,168.0431
SM(d20:4/16:1)+H2PO4,819.505917,707.5087,253.2173,168.0431
SM(d20:4/17:0)+H2PO4,835.537217,723.54,269.2486,168.0431
SM(d20:4/17:1)+H2PO4,833.521517,721.5243,267.2329,168.0431
SM(d20:4/17:2)+H2PO4,831.505917,719.5087,265.2173,168.0431
SM(d20:4/18:0)+H2PO4,849.552817,737.5556,283.2642,168.0431
SM(d20:4/18:1)+H2PO4,847.537217,735.54,281.2486,168.0431
SM(d20:4/18:2)+H2PO4,845.521517,733.5243,279.2329,168.0431
SM(d20:4/18:3)+H2PO4,843.505917,731.5087,277.2173,168.0431
SM(d20:4/18:4)+H2PO4,841.490217,729.493,275.2016,168.0431
SM(d20:4/19:0)+H2PO4,863.568517,751.5713,297.2799,168.0431
SM(d20:4/20:0)+H2PO4,877.584117,765.5869,311.2955,168.0431
SM(d20:4/20:1)+H2PO4,875.568517,763.5713,309.2799,168.0431
SM(d20:4/20:2)+H2PO4,873.552817,761.5556,307.2642,168.0431
SM(d20:4/20:3)+H2PO4,871.537217,759.54,305.2486,168.0431
SM(d20:4/20:4)+H2PO4,869.521517,757.5243,303.2329,168.0431
SM(d20:4/20:5)+H2PO4,867.505917,755.5087,301.2173,168.0431
SM(d20:4/21:0)+H2PO4,891.599817,779.6026,325.3112,168.0431
SM(d20:4/22:0)+H2PO4,905.615417,793.6182,339.3268,168.0431
SM(d20:4/22:1)+H2PO4,903.599817,791.6026,337.3112,168.0431
SM(d20:4/22:2)+H2PO4,901.584117,789.5869,335.2955,168.0431
SM(d20:4/22:3)+H2PO4,899.568517,787.5713,333.2799,168.0431
SM(d20:4/22:4)+H2PO4,897.552817,785.5556,331.2642,168.0431
SM(d20:4/22:5)+H2PO4,895.537217,783.54,329.2486,168.0431
SM(d20:4/22:6)+H2PO4,893.521517,781.5243,327.2329,168.0431
SM(d20:4/23:0)+H2PO4,919.631117,807.6339,353.3425,168.0431
SM(d20:4/24:0)+H2PO4,933.646717,821.6495,367.3581,168.0431
SM(d20:4/24:1)+H2PO4,931.631117,819.6339,365.3425,168.0431
SM(d20:4/25:0)+H2PO4,947.662417,835.6652,381.3738,168.0431
SM(d20:4/26:0)+H2PO4,961.678017,849.6808,395.3894,168.0431
SM(d20:4/8:0)+H2PO4,709.396317,597.3991,143.1077,168.0431
SM(d20:5/10:0)+H2PO4,735.412017,623.4148,171.139,168.0431
SM(d20:5/12:0)+H2PO4,763.443317,651.4461,199.1703,168.0431
SM(d20:5/13:0)+H2PO4,777.459017,665.4618,213.186,168.0431
SM(d20:5/14:0)+H2PO4,791.474617,679.4774,227.2016,168.0431
SM(d20:5/14:1)+H2PO4,789.459017,677.4618,225.186,168.0431
SM(d20:5/15:0)+H2PO4,805.490317,693.4931,241.2173,168.0431
SM(d20:5/15:1)+H2PO4,803.474617,691.4774,239.2016,168.0431
SM(d20:5/16:0)+H2PO4,819.505917,707.5087,255.2329,168.0431
SM(d20:5/16:1)+H2PO4,817.490317,705.4931,253.2173,168.0431
SM(d20:5/17:0)+H2PO4,833.521617,721.5244,269.2486,168.0431
SM(d20:5/17:1)+H2PO4,831.505917,719.5087,267.2329,168.0431
SM(d20:5/17:2)+H2PO4,829.490317,717.4931,265.2173,168.0431
SM(d20:5/18:0)+H2PO4,847.537217,735.54,283.2642,168.0431
SM(d20:5/18:1)+H2PO4,845.521617,733.5244,281.2486,168.0431
SM(d20:5/18:2)+H2PO4,843.505917,731.5087,279.2329,168.0431
SM(d20:5/18:3)+H2PO4,841.490317,729.4931,277.2173,168.0431
SM(d20:5/18:4)+H2PO4,839.474617,727.4774,275.2016,168.0431
SM(d20:5/19:0)+H2PO4,861.552917,749.5557,297.2799,168.0431
SM(d20:5/20:0)+H2PO4,875.568517,763.5713,311.2955,168.0431
SM(d20:5/20:1)+H2PO4,873.552917,761.5557,309.2799,168.0431
SM(d20:5/20:2)+H2PO4,871.537217,759.54,307.2642,168.0431
SM(d20:5/20:3)+H2PO4,869.521617,757.5244,305.2486,168.0431
SM(d20:5/20:4)+H2PO4,867.505917,755.5087,303.2329,168.0431
SM(d20:5/20:5)+H2PO4,865.490317,753.4931,301.2173,168.0431
SM(d20:5/21:0)+H2PO4,889.584217,777.587,325.3112,168.0431
SM(d20:5/22:0)+H2PO4,903.599817,791.6026,339.3268,168.0431
SM(d20:5/22:1)+H2PO4,901.584217,789.587,337.3112,168.0431
SM(d20:5/22:2)+H2PO4,899.568517,787.5713,335.2955,168.0431
SM(d20:5/22:3)+H2PO4,897.552917,785.5557,333.2799,168.0431
SM(d20:5/22:4)+H2PO4,895.537217,783.54,331.2642,168.0431
SM(d20:5/22:5)+H2PO4,893.521617,781.5244,329.2486,168.0431
SM(d20:5/22:6)+H2PO4,891.505917,779.5087,327.2329,168.0431
SM(d20:5/23:0)+H2PO4,917.615517,805.6183,353.3425,168.0431
SM(d20:5/24:0)+H2PO4,931.631117,819.6339,367.3581,168.0431
SM(d20:5/24:1)+H2PO4,929.615517,817.6183,365.3425,168.0431
SM(d20:5/25:0)+H2PO4,945.646817,833.6496,381.3738,168.0431
SM(d20:5/26:0)+H2PO4,959.662417,847.6652,395.3894,168.0431
SM(d20:5/8:0)+H2PO4,707.380717,595.3835,143.1077,168.0431
SM(d21:0/10:0)+H2PO4,759.505917,647.5087,171.139,168.0431
SM(d21:0/12:0)+H2PO4,787.537217,675.54,199.1703,168.0431
SM(d21:0/13:0)+H2PO4,801.552917,689.5557,213.186,168.0431
SM(d21:0/14:0)+H2PO4,815.568517,703.5713,227.2016,168.0431
SM(d21:0/14:1)+H2PO4,813.552917,701.5557,225.186,168.0431
SM(d21:0/15:0)+H2PO4,829.584217,717.587,241.2173,168.0431
SM(d21:0/15:1)+H2PO4,827.568517,715.5713,239.2016,168.0431
SM(d21:0/16:0)+H2PO4,843.599817,731.6026,255.2329,168.0431
SM(d21:0/16:1)+H2PO4,841.584217,729.587,253.2173,168.0431
SM(d21:0/17:0)+H2PO4,857.615517,745.6183,269.2486,168.0431
SM(d21:0/17:1)+H2PO4,855.599817,743.6026,267.2329,168.0431
SM(d21:0/17:2)+H2PO4,853.584217,741.587,265.2173,168.0431
SM(d21:0/18:0)+H2PO4,871.631117,759.6339,283.2642,168.0431
SM(d21:0/18:1)+H2PO4,869.615517,757.6183,281.2486,168.0431
SM(d21:0/18:2)+H2PO4,867.599817,755.6026,279.2329,168.0431
SM(d21:0/18:3)+H2PO4,865.584217,753.587,277.2173,168.0431
SM(d21:0/18:4)+H2PO4,863.568517,751.5713,275.2016,168.0431
SM(d21:0/19:0)+H2PO4,885.646817,773.6496,297.2799,168.0431
SM(d21:0/20:0)+H2PO4,899.662417,787.6652,311.2955,168.0431
SM(d21:0/20:1)+H2PO4,897.646817,785.6496,309.2799,168.0431
SM(d21:0/20:2)+H2PO4,895.631117,783.6339,307.2642,168.0431
SM(d21:0/20:3)+H2PO4,893.615517,781.6183,305.2486,168.0431
SM(d21:0/20:4)+H2PO4,891.599817,779.6026,303.2329,168.0431
SM(d21:0/20:5)+H2PO4,889.584217,777.587,301.2173,168.0431
SM(d21:0/21:0)+H2PO4,913.678117,801.6809,325.3112,168.0431
SM(d21:0/22:0)+H2PO4,927.693717,815.6965,339.3268,168.0431
SM(d21:0/22:1)+H2PO4,925.678117,813.6809,337.3112,168.0431
SM(d21:0/22:2)+H2PO4,923.662417,811.6652,335.2955,168.0431
SM(d21:0/22:3)+H2PO4,921.646817,809.6496,333.2799,168.0431
SM(d21:0/22:4)+H2PO4,919.631117,807.6339,331.2642,168.0431
SM(d21:0/22:5)+H2PO4,917.615517,805.6183,329.2486,168.0431
SM(d21:0/22:6)+H2PO4,915.599817,803.6026,327.2329,168.0431
SM(d21:0/23:0)+H2PO4,941.709417,829.7122,353.3425,168.0431
SM(d21:0/24:0)+H2PO4,955.725017,843.7278,367.3581,168.0431
SM(d21:0/24:1)+H2PO4,953.709417,841.7122,365.3425,168.0431
SM(d21:0/25:0)+H2PO4,969.740717,857.7435,381.3738,168.0431
SM(d21:0/26:0)+H2PO4,983.756317,871.7591,395.3894,168.0431
SM(d21:0/8:0)+H2PO4,731.474617,619.4774,143.1077,168.0431
SM(d22:0/10:0)+H2PO4,773.521517,661.5243,171.139,168.0431
SM(d22:0/12:0)+H2PO4,801.552817,689.5556,199.1703,168.0431
SM(d22:0/13:0)+H2PO4,815.568517,703.5713,213.186,168.0431
SM(d22:0/14:0)+H2PO4,829.584117,717.5869,227.2016,168.0431
SM(d22:0/14:1)+H2PO4,827.568517,715.5713,225.186,168.0431
SM(d22:0/15:0)+H2PO4,843.599817,731.6026,241.2173,168.0431
SM(d22:0/15:1)+H2PO4,841.584117,729.5869,239.2016,168.0431
SM(d22:0/16:0)+H2PO4,857.615417,745.6182,255.2329,168.0431
SM(d22:0/16:1)+H2PO4,855.599817,743.6026,253.2173,168.0431
SM(d22:0/17:0)+H2PO4,871.631117,759.6339,269.2486,168.0431
SM(d22:0/17:1)+H2PO4,869.615417,757.6182,267.2329,168.0431
SM(d22:0/17:2)+H2PO4,867.599817,755.6026,265.2173,168.0431
SM(d22:0/18:0)+H2PO4,885.646717,773.6495,283.2642,168.0431
SM(d22:0/18:1)+H2PO4,883.631117,771.6339,281.2486,168.0431
SM(d22:0/18:2)+H2PO4,881.615417,769.6182,279.2329,168.0431
SM(d22:0/18:3)+H2PO4,879.599817,767.6026,277.2173,168.0431
SM(d22:0/18:4)+H2PO4,877.584117,765.5869,275.2016,168.0431
SM(d22:0/19:0)+H2PO4,899.662417,787.6652,297.2799,168.0431
SM(d22:0/20:0)+H2PO4,913.678017,801.6808,311.2955,168.0431
SM(d22:0/20:1)+H2PO4,911.662417,799.6652,309.2799,168.0431
SM(d22:0/20:2)+H2PO4,909.646717,797.6495,307.2642,168.0431
SM(d22:0/20:3)+H2PO4,907.631117,795.6339,305.2486,168.0431
SM(d22:0/20:4)+H2PO4,905.615417,793.6182,303.2329,168.0431
SM(d22:0/20:5)+H2PO4,903.599817,791.6026,301.2173,168.0431
SM(d22:0/21:0)+H2PO4,927.693717,815.6965,325.3112,168.0431
SM(d22:0/22:0)+H2PO4,941.709317,829.7121,339.3268,168.0431
SM(d22:0/22:1)+H2PO4,939.693717,827.6965,337.3112,168.0431
SM(d22:0/22:2)+H2PO4,937.678017,825.6808,335.2955,168.0431
SM(d22:0/22:3)+H2PO4,935.662417,823.6652,333.2799,168.0431
SM(d22:0/22:4)+H2PO4,933.646717,821.6495,331.2642,168.0431
SM(d22:0/22:5)+H2PO4,931.631117,819.6339,329.2486,168.0431
SM(d22:0/22:6)+H2PO4,929.615417,817.6182,327.2329,168.0431
SM(d22:0/23:0)+H2PO4,955.725017,843.7278,353.3425,168.0431
SM(d22:0/24:0)+H2PO4,969.740617,857.7434,367.3581,168.0431
SM(d22:0/24:1)+H2PO4,967.725017,855.7278,365.3425,168.0431
SM(d22:0/25:0)+H2PO4,983.756317,871.7591,381.3738,168.0431
SM(d22:0/26:0)+H2PO4,997.771917,885.7747,395.3894,168.0431
SM(d22:0/8:0)+H2PO4,745.490217,633.493,143.1077,168.0431
SM(d22:1/10:0)+H2PO4,771.505917,659.5087,171.139,168.0431
SM(d22:1/12:0)+H2PO4,799.537217,687.54,199.1703,168.0431
SM(d22:1/13:0)+H2PO4,813.552917,701.5557,213.186,168.0431
SM(d22:1/14:0)+H2PO4,827.568517,715.5713,227.2016,168.0431
SM(d22:1/14:1)+H2PO4,825.552917,713.5557,225.186,168.0431
SM(d22:1/15:0)+H2PO4,841.584217,729.587,241.2173,168.0431
SM(d22:1/15:1)+H2PO4,839.568517,727.5713,239.2016,168.0431
SM(d22:1/16:0)+H2PO4,855.599817,743.6026,255.2329,168.0431
SM(d22:1/16:1)+H2PO4,853.584217,741.587,253.2173,168.0431
SM(d22:1/17:0)+H2PO4,869.615517,757.6183,269.2486,168.0431
SM(d22:1/17:1)+H2PO4,867.599817,755.6026,267.2329,168.0431
SM(d22:1/17:2)+H2PO4,865.584217,753.587,265.2173,168.0431
SM(d22:1/18:0)+H2PO4,883.631117,771.6339,283.2642,168.0431
SM(d22:1/18:1)+H2PO4,881.615517,769.6183,281.2486,168.0431
SM(d22:1/18:2)+H2PO4,879.599817,767.6026,279.2329,168.0431
SM(d22:1/18:3)+H2PO4,877.584217,765.587,277.2173,168.0431
SM(d22:1/18:4)+H2PO4,875.568517,763.5713,275.2016,168.0431
SM(d22:1/19:0)+H2PO4,897.646817,785.6496,297.2799,168.0431
SM(d22:1/20:0)+H2PO4,911.662417,799.6652,311.2955,168.0431
SM(d22:1/20:1)+H2PO4,909.646817,797.6496,309.2799,168.0431
SM(d22:1/20:2)+H2PO4,907.631117,795.6339,307.2642,168.0431
SM(d22:1/20:3)+H2PO4,905.615517,793.6183,305.2486,168.0431
SM(d22:1/20:4)+H2PO4,903.599817,791.6026,303.2329,168.0431
SM(d22:1/20:5)+H2PO4,901.584217,789.587,301.2173,168.0431
SM(d22:1/21:0)+H2PO4,925.678117,813.6809,325.3112,168.0431
SM(d22:1/22:0)+H2PO4,939.693717,827.6965,339.3268,168.0431
SM(d22:1/22:1)+H2PO4,937.678117,825.6809,337.3112,168.0431
SM(d22:1/22:2)+H2PO4,935.662417,823.6652,335.2955,168.0431
SM(d22:1/22:3)+H2PO4,933.646817,821.6496,333.2799,168.0431
SM(d22:1/22:4)+H2PO4,931.631117,819.6339,331.2642,168.0431
SM(d22:1/22:5)+H2PO4,929.615517,817.6183,329.2486,168.0431
SM(d22:1/22:6)+H2PO4,927.599817,815.6026,327.2329,168.0431
SM(d22:1/23:0)+H2PO4,953.709417,841.7122,353.3425,168.0431
SM(d22:1/24:0)+H2PO4,967.725017,855.7278,367.3581,168.0431
SM(d22:1/24:1)+H2PO4,965.709417,853.7122,365.3425,168.0431
SM(d22:1/25:0)+H2PO4,981.740717,869.7435,381.3738,168.0431
SM(d22:1/26:0)+H2PO4,995.756317,883.7591,395.3894,168.0431
SM(d22:1/8:0)+H2PO4,743.474617,631.4774,143.1077,168.0431
SM(d22:2/10:0)+H2PO4,769.490217,657.493,171.139,168.0431
SM(d22:2/12:0)+H2PO4,797.521517,685.5243,199.1703,168.0431
SM(d22:2/13:0)+H2PO4,811.537217,699.54,213.186,168.0431
SM(d22:2/14:0)+H2PO4,825.552817,713.5556,227.2016,168.0431
SM(d22:2/14:1)+H2PO4,823.537217,711.54,225.186,168.0431
SM(d22:2/15:0)+H2PO4,839.568517,727.5713,241.2173,168.0431
SM(d22:2/15:1)+H2PO4,837.552817,725.5556,239.2016,168.0431
SM(d22:2/16:0)+H2PO4,853.584117,741.5869,255.2329,168.0431
SM(d22:2/16:1)+H2PO4,851.568517,739.5713,253.2173,168.0431
SM(d22:2/17:0)+H2PO4,867.599817,755.6026,269.2486,168.0431
SM(d22:2/17:1)+H2PO4,865.584117,753.5869,267.2329,168.0431
SM(d22:2/17:2)+H2PO4,863.568517,751.5713,265.2173,168.0431
SM(d22:2/18:0)+H2PO4,881.615417,769.6182,283.2642,168.0431
SM(d22:2/18:1)+H2PO4,879.599817,767.6026,281.2486,168.0431
SM(d22:2/18:2)+H2PO4,877.584117,765.5869,279.2329,168.0431
SM(d22:2/18:3)+H2PO4,875.568517,763.5713,277.2173,168.0431
SM(d22:2/18:4)+H2PO4,873.552817,761.5556,275.2016,168.0431
SM(d22:2/19:0)+H2PO4,895.631117,783.6339,297.2799,168.0431
SM(d22:2/20:0)+H2PO4,909.646717,797.6495,311.2955,168.0431
SM(d22:2/20:1)+H2PO4,907.631117,795.6339,309.2799,168.0431
SM(d22:2/20:2)+H2PO4,905.615417,793.6182,307.2642,168.0431
SM(d22:2/20:3)+H2PO4,903.599817,791.6026,305.2486,168.0431
SM(d22:2/20:4)+H2PO4,901.584117,789.5869,303.2329,168.0431
SM(d22:2/20:5)+H2PO4,899.568517,787.5713,301.2173,168.0431
SM(d22:2/21:0)+H2PO4,923.662417,811.6652,325.3112,168.0431
SM(d22:2/22:0)+H2PO4,937.678017,825.6808,339.3268,168.0431
SM(d22:2/22:1)+H2PO4,935.662417,823.6652,337.3112,168.0431
SM(d22:2/22:2)+H2PO4,933.646717,821.6495,335.2955,168.0431
SM(d22:2/22:3)+H2PO4,931.631117,819.6339,333.2799,168.0431
SM(d22:2/22:4)+H2PO4,929.615417,817.6182,331.2642,168.0431
SM(d22:2/22:5)+H2PO4,927.599817,815.6026,329.2486,168.0431
SM(d22:2/22:6)+H2PO4,925.584117,813.5869,327.2329,168.0431
SM(d22:2/23:0)+H2PO4,951.693717,839.6965,353.3425,168.0431
SM(d22:2/24:0)+H2PO4,965.709317,853.7121,367.3581,168.0431
SM(d22:2/24:1)+H2PO4,963.693717,851.6965,365.3425,168.0431
SM(d22:2/25:0)+H2PO4,979.725017,867.7278,381.3738,168.0431
SM(d22:2/26:0)+H2PO4,993.740617,881.7434,395.3894,168.0431
SM(d22:2/8:0)+H2PO4,741.458917,629.4617,143.1077,168.0431
SM(d22:3/10:0)+H2PO4,767.474617,655.4774,171.139,168.0431
SM(d22:3/12:0)+H2PO4,795.505917,683.5087,199.1703,168.0431
SM(d22:3/13:0)+H2PO4,809.521617,697.5244,213.186,168.0431
SM(d22:3/14:0)+H2PO4,823.537217,711.54,227.2016,168.0431
SM(d22:3/14:1)+H2PO4,821.521617,709.5244,225.186,168.0431
SM(d22:3/15:0)+H2PO4,837.552917,725.5557,241.2173,168.0431
SM(d22:3/15:1)+H2PO4,835.537217,723.54,239.2016,168.0431
SM(d22:3/16:0)+H2PO4,851.568517,739.5713,255.2329,168.0431
SM(d22:3/16:1)+H2PO4,849.552917,737.5557,253.2173,168.0431
